park,review_year,user_rating,rating_count,vote_count
Haleakala National Park,2013,1,2,24
Haleakala National Park,2013,2,6,67
Haleakala National Park,2013,3,11,2841
Haleakala National Park,2013,4,87,4692
Haleakala National Park,2013,5,424,25564
Haleakala National Park,2014,1,8,156
Haleakala National Park,2014,2,3,61
Haleakala National Park,2014,3,13,935
Haleakala National Park,2014,4,122,10351
Haleakala National Park,2014,5,525,30281
Haleakala National Park,2015,1,9,190
Haleakala National Park,2015,2,8,428
Haleakala National Park,2015,3,42,1351
Haleakala National Park,2015,4,228,8685
Haleakala National Park,2015,5,1152,47211
Haleakala National Park,2016,1,4,38
Haleakala National Park,2016,2,10,263
Haleakala National Park,2016,3,49,2336
Haleakala National Park,2016,4,181,7073
Haleakala National Park,2016,5,1127,41813
Haleakala National Park,2017,1,8,164
Haleakala National Park,2017,2,4,328
Haleakala National Park,2017,3,38,1308
Haleakala National Park,2017,4,147,7096
Haleakala National Park,2017,5,831,28732
Haleakala National Park,2018,1,7,106
Haleakala National Park,2018,2,4,25
Haleakala National Park,2018,3,28,2379
Haleakala National Park,2018,4,93,4614
Haleakala National Park,2018,5,593,23049
Haleakala National Park,2019,1,6,293
Haleakala National Park,2019,2,1,4
Haleakala National Park,2019,3,9,94
Haleakala National Park,2019,4,55,1813
Haleakala National Park,2019,5,347,11246
Hawaii Volcanoes National Park,2008,5,1,6
Hawaii Volcanoes National Park,2009,2,1,14
Hawaii Volcanoes National Park,2009,5,3,1611
Hawaii Volcanoes National Park,2010,3,1,154
Hawaii Volcanoes National Park,2010,4,6,441
Hawaii Volcanoes National Park,2010,5,16,1939
Hawaii Volcanoes National Park,2011,1,2,34
Hawaii Volcanoes National Park,2011,2,3,281
Hawaii Volcanoes National Park,2011,3,4,340
Hawaii Volcanoes National Park,2011,4,14,1085
Hawaii Volcanoes National Park,2011,5,54,4857
Hawaii Volcanoes National Park,2012,1,1,45
Hawaii Volcanoes National Park,2012,2,1,87
Hawaii Volcanoes National Park,2012,3,9,467
Hawaii Volcanoes National Park,2012,4,54,2635
Hawaii Volcanoes National Park,2012,5,249,22687
Hawaii Volcanoes National Park,2013,1,1,21
Hawaii Volcanoes National Park,2013,2,5,152
Hawaii Volcanoes National Park,2013,3,11,316
Hawaii Volcanoes National Park,2013,4,90,5548
Hawaii Volcanoes National Park,2013,5,342,26390
Hawaii Volcanoes National Park,2014,1,1,4
Hawaii Volcanoes National Park,2014,2,5,317
Hawaii Volcanoes National Park,2014,3,21,1418
Hawaii Volcanoes National Park,2014,4,120,9199
Hawaii Volcanoes National Park,2014,5,482,31335
Hawaii Volcanoes National Park,2015,1,6,208
Hawaii Volcanoes National Park,2015,2,6,284
Hawaii Volcanoes National Park,2015,3,54,2923
Hawaii Volcanoes National Park,2015,4,276,13238
Hawaii Volcanoes National Park,2015,5,1201,67402
Hawaii Volcanoes National Park,2016,1,1,3
Hawaii Volcanoes National Park,2016,2,4,162
Hawaii Volcanoes National Park,2016,3,50,1881
Hawaii Volcanoes National Park,2016,4,263,14390
Hawaii Volcanoes National Park,2016,5,1335,55818
Hawaii Volcanoes National Park,2017,1,1,7
Hawaii Volcanoes National Park,2017,2,5,524
Hawaii Volcanoes National Park,2017,3,39,1395
Hawaii Volcanoes National Park,2017,4,197,13237
Hawaii Volcanoes National Park,2017,5,1077,56076
Hawaii Volcanoes National Park,2018,1,7,111
Hawaii Volcanoes National Park,2018,2,4,161
Hawaii Volcanoes National Park,2018,3,28,1547
Hawaii Volcanoes National Park,2018,4,105,6943
Hawaii Volcanoes National Park,2018,5,465,25695
Hawaii Volcanoes National Park,2019,1,4,20
Hawaii Volcanoes National Park,2019,2,11,259
Hawaii Volcanoes National Park,2019,3,42,1666
Hawaii Volcanoes National Park,2019,4,82,4482
Hawaii Volcanoes National Park,2019,5,262,10518
Hot Springs National Park,2012,2,2,74
Hot Springs National Park,2012,3,1,101
Hot Springs National Park,2012,4,9,750
Hot Springs National Park,2012,5,11,769
Hot Springs National Park,2013,1,2,32
Hot Springs National Park,2013,2,2,186
Hot Springs National Park,2013,3,6,527
Hot Springs National Park,2013,4,7,346
Hot Springs National Park,2013,5,16,1269
Hot Springs National Park,2014,1,1,41
Hot Springs National Park,2014,2,1,115
Hot Springs National Park,2014,3,8,539
Hot Springs National Park,2014,4,17,1846
Hot Springs National Park,2014,5,17,4306
Hot Springs National Park,2015,2,5,364
Hot Springs National Park,2015,3,16,841
Hot Springs National Park,2015,4,38,3699
Hot Springs National Park,2015,5,97,5790
Hot Springs National Park,2016,1,2,69
Hot Springs National Park,2016,2,3,275
Hot Springs National Park,2016,3,13,713
Hot Springs National Park,2016,4,33,2585
Hot Springs National Park,2016,5,87,4270
Hot Springs National Park,2017,1,1,24
Hot Springs National Park,2017,2,2,33
Hot Springs National Park,2017,3,10,315
Hot Springs National Park,2017,4,44,4598
Hot Springs National Park,2017,5,114,10283
Hot Springs National Park,2018,1,2,37
Hot Springs National Park,2018,2,1,14
Hot Springs National Park,2018,3,12,796
Hot Springs National Park,2018,4,26,5662
Hot Springs National Park,2018,5,102,4017
Hot Springs National Park,2019,1,1,108
Hot Springs National Park,2019,2,3,346
Hot Springs National Park,2019,3,8,219
Hot Springs National Park,2019,4,24,859
Hot Springs National Park,2019,5,84,4011
Indiana Dunes National Park,2004,4,1,6
Indiana Dunes National Park,2005,5,1,11
Indiana Dunes National Park,2007,4,1,3
Indiana Dunes National Park,2007,5,1,58
Indiana Dunes National Park,2008,3,1,19
Indiana Dunes National Park,2009,5,1,10
Indiana Dunes National Park,2010,5,1,8
Indiana Dunes National Park,2011,3,1,61
Indiana Dunes National Park,2011,4,2,188
Indiana Dunes National Park,2011,5,6,421
Indiana Dunes National Park,2012,1,1,28
Indiana Dunes National Park,2012,2,1,94
Indiana Dunes National Park,2012,3,5,181
Indiana Dunes National Park,2012,4,14,1147
Indiana Dunes National Park,2012,5,27,1261
Indiana Dunes National Park,2013,3,2,125
Indiana Dunes National Park,2013,4,8,415
Indiana Dunes National Park,2013,5,31,1103
Indiana Dunes National Park,2014,1,2,60
Indiana Dunes National Park,2014,2,3,198
Indiana Dunes National Park,2014,3,7,303
Indiana Dunes National Park,2014,4,22,4521
Indiana Dunes National Park,2014,5,53,3422
Indiana Dunes National Park,2015,1,3,113
Indiana Dunes National Park,2015,2,2,20
Indiana Dunes National Park,2015,3,9,473
Indiana Dunes National Park,2015,4,46,2244
Indiana Dunes National Park,2015,5,80,2629
Indiana Dunes National Park,2016,1,1,2
Indiana Dunes National Park,2016,2,3,33
Indiana Dunes National Park,2016,3,11,1214
Indiana Dunes National Park,2016,4,51,2786
Indiana Dunes National Park,2016,5,107,3208
Indiana Dunes National Park,2017,1,1,15
Indiana Dunes National Park,2017,2,1,4
Indiana Dunes National Park,2017,3,8,470
Indiana Dunes National Park,2017,4,29,1156
Indiana Dunes National Park,2017,5,72,1817
Indiana Dunes National Park,2018,2,1,42
Indiana Dunes National Park,2018,3,2,29
Indiana Dunes National Park,2018,4,14,1344
Indiana Dunes National Park,2018,5,65,6795
Indiana Dunes National Park,2019,1,2,43
Indiana Dunes National Park,2019,2,4,310
Indiana Dunes National Park,2019,3,7,131
Indiana Dunes National Park,2019,4,23,1311
Indiana Dunes National Park,2019,5,41,777
Joshua Tree National Park,2018,2,1,17
Joshua Tree National Park,2018,3,5,260
Joshua Tree National Park,2018,4,18,1518
Joshua Tree National Park,2018,5,114,15763
Joshua Tree National Park,2019,1,2,154
Joshua Tree National Park,2019,3,6,436
Joshua Tree National Park,2019,4,25,6771
Joshua Tree National Park,2019,5,174,18435
Kenai Fjords National Park,2012,4,7,202
Kenai Fjords National Park,2012,5,59,3472
Kenai Fjords National Park,2013,1,1,76
Kenai Fjords National Park,2013,3,2,106
Kenai Fjords National Park,2013,4,17,842
Kenai Fjords National Park,2013,5,168,10799
Kenai Fjords National Park,2014,2,1,8
Kenai Fjords National Park,2014,3,2,203
Kenai Fjords National Park,2014,4,14,872
Kenai Fjords National Park,2014,5,196,14368
Kenai Fjords National Park,2015,1,2,7
Kenai Fjords National Park,2015,3,3,215
Kenai Fjords National Park,2015,4,19,1628
Kenai Fjords National Park,2015,5,283,13952
Kenai Fjords National Park,2016,3,4,201
Kenai Fjords National Park,2016,4,20,588
Kenai Fjords National Park,2016,5,248,18266
Kenai Fjords National Park,2017,1,1,0
Kenai Fjords National Park,2017,3,2,173
Kenai Fjords National Park,2017,4,20,1314
Kenai Fjords National Park,2017,5,186,14051
Kenai Fjords National Park,2018,2,1,102
Kenai Fjords National Park,2018,3,3,22
Kenai Fjords National Park,2018,4,13,1076
Kenai Fjords National Park,2018,5,149,9671
Kenai Fjords National Park,2019,4,9,401
Kenai Fjords National Park,2019,5,102,4289
Kings Canyon National Park,2007,5,1,27
Kings Canyon National Park,2009,3,1,6
Kings Canyon National Park,2009,4,2,17
Kings Canyon National Park,2009,5,2,296
Kings Canyon National Park,2010,4,2,221
Kings Canyon National Park,2010,5,3,194
Kings Canyon National Park,2011,2,1,10
Kings Canyon National Park,2011,4,4,1293
Kings Canyon National Park,2011,5,32,2103
Kings Canyon National Park,2012,2,1,25
Kings Canyon National Park,2012,3,1,128
Kings Canyon National Park,2012,4,18,816
Kings Canyon National Park,2012,5,53,2998
Kings Canyon National Park,2013,2,1,16
Kings Canyon National Park,2013,3,3,105
Kings Canyon National Park,2013,4,12,1559
Kings Canyon National Park,2013,5,71,5574
Kings Canyon National Park,2014,3,5,495
Kings Canyon National Park,2014,4,15,2053
Kings Canyon National Park,2014,5,88,5810
Kings Canyon National Park,2015,2,2,65
Kings Canyon National Park,2015,3,3,174
Kings Canyon National Park,2015,4,20,2211
Kings Canyon National Park,2015,5,96,10084
Kings Canyon National Park,2016,1,2,19
Kings Canyon National Park,2016,2,2,34
Kings Canyon National Park,2016,3,3,217
Kings Canyon National Park,2016,4,18,4865
Kings Canyon National Park,2016,5,99,5853
Kings Canyon National Park,2017,2,1,30
Kings Canyon National Park,2017,3,4,217
Kings Canyon National Park,2017,4,11,1011
Kings Canyon National Park,2017,5,92,9607
Kings Canyon National Park,2018,1,1,2
Kings Canyon National Park,2018,2,1,72
Kings Canyon National Park,2018,3,3,93
Kings Canyon National Park,2018,4,11,1624
Kings Canyon National Park,2018,5,65,4138
Kings Canyon National Park,2019,3,1,106
Kings Canyon National Park,2019,4,3,370
Kings Canyon National Park,2019,5,22,1147
Kobuk Valley National Park,2017,4,2,20
Kobuk Valley National Park,2017,5,1,13
Kobuk Valley National Park,2018,5,2,252
Kobuk Valley National Park,2019,5,1,43
Gates Of The Arctic National Park,2017,5,1,1223
Gates Of The Arctic National Park,2019,5,1,43
Lake Clark National Park,2017,5,6,1638
Lake Clark National Park,2018,5,10,1060
Lake Clark National Park,2019,5,2,86
Mammoth Cave National Park,2004,4,1,1
Mammoth Cave National Park,2006,4,1,69
Mammoth Cave National Park,2006,5,1,224
Mammoth Cave National Park,2007,4,4,1034
Mammoth Cave National Park,2007,5,4,501
Mammoth Cave National Park,2008,1,1,6
Mammoth Cave National Park,2008,2,1,2
Mammoth Cave National Park,2008,3,1,9
Mammoth Cave National Park,2008,4,6,325
Mammoth Cave National Park,2008,5,4,506
Mammoth Cave National Park,2009,1,1,5
Mammoth Cave National Park,2009,3,2,160
Mammoth Cave National Park,2009,4,6,646
Mammoth Cave National Park,2009,5,14,660
Mammoth Cave National Park,2010,2,1,169
Mammoth Cave National Park,2010,3,2,178
Mammoth Cave National Park,2010,4,20,1623
Mammoth Cave National Park,2010,5,21,1463
Mammoth Cave National Park,2011,1,1,0
Mammoth Cave National Park,2011,2,1,4
Mammoth Cave National Park,2011,3,4,153
Mammoth Cave National Park,2011,4,23,855
Mammoth Cave National Park,2011,5,55,3336
Mammoth Cave National Park,2012,1,4,323
Mammoth Cave National Park,2012,2,3,70
Mammoth Cave National Park,2012,3,16,940
Mammoth Cave National Park,2012,4,72,3048
Mammoth Cave National Park,2012,5,194,12280
Mammoth Cave National Park,2013,1,1,37
Mammoth Cave National Park,2013,2,4,179
Mammoth Cave National Park,2013,3,21,856
Mammoth Cave National Park,2013,4,96,5098
Mammoth Cave National Park,2013,5,268,14999
Mammoth Cave National Park,2014,1,6,84
Mammoth Cave National Park,2014,2,4,174
Mammoth Cave National Park,2014,3,36,2857
Mammoth Cave National Park,2014,4,114,7157
Mammoth Cave National Park,2014,5,273,13336
Mammoth Cave National Park,2015,1,4,37
Mammoth Cave National Park,2015,2,11,467
Mammoth Cave National Park,2015,3,52,2782
Mammoth Cave National Park,2015,4,135,8790
Mammoth Cave National Park,2015,5,353,15186
Mammoth Cave National Park,2016,1,3,37
Mammoth Cave National Park,2016,2,17,1528
Mammoth Cave National Park,2016,3,50,2548
Mammoth Cave National Park,2016,4,169,12399
Mammoth Cave National Park,2016,5,447,21689
Mammoth Cave National Park,2017,1,6,201
Mammoth Cave National Park,2017,2,10,588
Mammoth Cave National Park,2017,3,39,1720
Mammoth Cave National Park,2017,4,125,6132
Mammoth Cave National Park,2017,5,321,20257
Mammoth Cave National Park,2018,1,2,12
Mammoth Cave National Park,2018,2,7,144
Mammoth Cave National Park,2018,3,21,1124
Mammoth Cave National Park,2018,4,102,5802
Mammoth Cave National Park,2018,5,305,14228
Mammoth Cave National Park,2019,1,7,159
Mammoth Cave National Park,2019,2,7,561
Mammoth Cave National Park,2019,3,22,1290
Mammoth Cave National Park,2019,4,59,7017
Mammoth Cave National Park,2019,5,163,5533
Lassen Volcanic National Park,2005,5,1,445
Lassen Volcanic National Park,2006,5,1,16
Lassen Volcanic National Park,2007,5,2,109
Lassen Volcanic National Park,2009,5,3,202
Lassen Volcanic National Park,2010,4,1,3
Lassen Volcanic National Park,2010,5,2,412
Lassen Volcanic National Park,2011,4,3,166
Lassen Volcanic National Park,2011,5,10,663
Lassen Volcanic National Park,2012,2,1,7
Lassen Volcanic National Park,2012,3,2,64
Lassen Volcanic National Park,2012,4,12,1588
Lassen Volcanic National Park,2012,5,56,2564
Lassen Volcanic National Park,2013,2,2,59
Lassen Volcanic National Park,2013,3,2,78
Lassen Volcanic National Park,2013,4,10,809
Lassen Volcanic National Park,2013,5,36,2515
Lassen Volcanic National Park,2014,3,2,93
Lassen Volcanic National Park,2014,4,14,4385
Lassen Volcanic National Park,2014,5,39,5924
Lassen Volcanic National Park,2015,2,1,10
Lassen Volcanic National Park,2015,3,2,63
Lassen Volcanic National Park,2015,4,16,4679
Lassen Volcanic National Park,2015,5,57,8825
Lassen Volcanic National Park,2016,3,1,17
Lassen Volcanic National Park,2016,4,9,970
Lassen Volcanic National Park,2016,5,68,3446
Lassen Volcanic National Park,2017,3,1,20
Lassen Volcanic National Park,2017,4,9,1258
Lassen Volcanic National Park,2017,5,37,5781
Lassen Volcanic National Park,2018,2,1,31
Lassen Volcanic National Park,2018,4,9,1893
Lassen Volcanic National Park,2018,5,23,989
Lassen Volcanic National Park,2019,3,1,102
Lassen Volcanic National Park,2019,4,6,1896
Lassen Volcanic National Park,2019,5,21,2144
Mount Rainier National Park,2004,5,1,137
Mount Rainier National Park,2006,5,1,21
Mount Rainier National Park,2008,5,4,135
Mount Rainier National Park,2009,4,1,20
Mount Rainier National Park,2009,5,7,521
Mount Rainier National Park,2010,5,16,1264
Mount Rainier National Park,2011,2,1,120
Mount Rainier National Park,2011,3,3,323
Mount Rainier National Park,2011,4,3,113
Mount Rainier National Park,2011,5,45,3308
Mount Rainier National Park,2012,4,14,881
Mount Rainier National Park,2012,5,152,9952
Mount Rainier National Park,2013,1,1,26
Mount Rainier National Park,2013,3,1,70
Mount Rainier National Park,2013,4,19,966
Mount Rainier National Park,2013,5,141,11058
Mount Rainier National Park,2014,3,2,229
Mount Rainier National Park,2014,4,24,4220
Mount Rainier National Park,2014,5,161,20758
Mount Rainier National Park,2015,3,2,202
Mount Rainier National Park,2015,4,27,2872
Mount Rainier National Park,2015,5,251,18478
Mount Rainier National Park,2016,3,2,154
Mount Rainier National Park,2016,4,25,1946
Mount Rainier National Park,2016,5,198,21599
Mount Rainier National Park,2017,1,1,2
Mount Rainier National Park,2017,3,2,70
Mount Rainier National Park,2017,4,13,442
Mount Rainier National Park,2017,5,168,15925
Mount Rainier National Park,2018,1,1,0
Mount Rainier National Park,2018,2,1,171
Mount Rainier National Park,2018,3,4,112
Mount Rainier National Park,2018,4,17,1141
Mount Rainier National Park,2018,5,155,10069
Mount Rainier National Park,2019,2,1,3
Mount Rainier National Park,2019,3,1,18
Mount Rainier National Park,2019,4,5,46
Mount Rainier National Park,2019,5,92,7635
Virgin Islands National Park,2007,4,1,22
Virgin Islands National Park,2007,5,1,21
Virgin Islands National Park,2011,3,1,170
Virgin Islands National Park,2011,4,3,253
Virgin Islands National Park,2011,5,1,87
Virgin Islands National Park,2012,1,1,5
Virgin Islands National Park,2012,2,1,52
Virgin Islands National Park,2012,3,2,403
Virgin Islands National Park,2012,4,6,265
Virgin Islands National Park,2012,5,8,464
Virgin Islands National Park,2013,1,1,38
Virgin Islands National Park,2013,2,1,186
Virgin Islands National Park,2013,3,3,306
Virgin Islands National Park,2013,4,8,546
Virgin Islands National Park,2013,5,2,18
Virgin Islands National Park,2014,2,1,16
Virgin Islands National Park,2014,3,3,72
Virgin Islands National Park,2014,4,6,3496
Virgin Islands National Park,2014,5,3,99
Virgin Islands National Park,2015,2,3,494
Virgin Islands National Park,2015,3,10,731
Virgin Islands National Park,2015,4,12,5110
Virgin Islands National Park,2015,5,11,486
Virgin Islands National Park,2016,2,6,147
Virgin Islands National Park,2016,3,5,163
Virgin Islands National Park,2016,4,11,933
Virgin Islands National Park,2016,5,13,262
Virgin Islands National Park,2017,1,1,119
Virgin Islands National Park,2017,2,1,0
Virgin Islands National Park,2017,3,5,118
Virgin Islands National Park,2017,4,6,521
Virgin Islands National Park,2017,5,6,572
Virgin Islands National Park,2018,1,1,5
Virgin Islands National Park,2018,3,1,65
Virgin Islands National Park,2018,4,2,164
Virgin Islands National Park,2018,5,2,56
Virgin Islands National Park,2019,3,1,13
Virgin Islands National Park,2019,4,3,833
Virgin Islands National Park,2019,5,2,202
American Samoa National Park,2014,4,1,366
American Samoa National Park,2014,5,1,37
American Samoa National Park,2015,2,1,11
American Samoa National Park,2015,3,1,96
American Samoa National Park,2015,4,5,1158
American Samoa National Park,2015,5,6,1757
American Samoa National Park,2016,3,3,48
American Samoa National Park,2016,4,6,272
American Samoa National Park,2016,5,13,873
American Samoa National Park,2017,3,1,2
American Samoa National Park,2017,4,2,153
American Samoa National Park,2017,5,5,364
American Samoa National Park,2018,3,2,33
American Samoa National Park,2018,4,7,982
American Samoa National Park,2018,5,6,464
American Samoa National Park,2019,2,1,1
American Samoa National Park,2019,3,1,60
American Samoa National Park,2019,4,6,805
American Samoa National Park,2019,5,5,251
North Cascades National Park,2017,4,3,369
North Cascades National Park,2017,5,7,709
North Cascades National Park,2018,4,1,8
North Cascades National Park,2018,5,7,1317
North Cascades National Park,2019,4,3,241
North Cascades National Park,2019,5,15,1516
Olympic National Park,2009,2,1,15
Olympic National Park,2009,5,2,3
Olympic National Park,2011,4,1,3
Olympic National Park,2011,5,5,100
Olympic National Park,2012,4,4,190
Olympic National Park,2012,5,34,781
Olympic National Park,2013,4,8,286
Olympic National Park,2013,5,40,2949
Olympic National Park,2014,3,2,84
Olympic National Park,2014,4,17,993
Olympic National Park,2014,5,53,3321
Olympic National Park,2015,3,5,2944
Olympic National Park,2015,4,12,1125
Olympic National Park,2015,5,85,4640
Olympic National Park,2016,2,1,6
Olympic National Park,2016,3,3,413
Olympic National Park,2016,4,14,1130
Olympic National Park,2016,5,75,12569
Olympic National Park,2017,4,6,614
Olympic National Park,2017,5,53,7911
Olympic National Park,2018,2,3,321
Olympic National Park,2018,4,9,2459
Olympic National Park,2018,5,63,8533
Olympic National Park,2019,4,3,127
Olympic National Park,2019,5,33,4945
Petrified Forest National Park,2005,5,1,139
Petrified Forest National Park,2006,3,1,105
Petrified Forest National Park,2006,5,1,115
Petrified Forest National Park,2007,4,1,2372
Petrified Forest National Park,2007,5,1,17
Petrified Forest National Park,2008,5,3,342
Petrified Forest National Park,2009,3,2,211
Petrified Forest National Park,2009,4,2,325
Petrified Forest National Park,2009,5,2,224
Petrified Forest National Park,2010,3,1,466
Petrified Forest National Park,2010,4,2,476
Petrified Forest National Park,2010,5,3,272
Petrified Forest National Park,2011,3,3,153
Petrified Forest National Park,2011,4,10,826
Petrified Forest National Park,2011,5,28,5856
Petrified Forest National Park,2012,2,1,171
Petrified Forest National Park,2012,3,10,2301
Petrified Forest National Park,2012,4,61,6317
Petrified Forest National Park,2012,5,145,7783
Petrified Forest National Park,2013,1,1,109
Petrified Forest National Park,2013,2,1,23
Petrified Forest National Park,2013,3,4,208
Petrified Forest National Park,2013,4,36,3143
Petrified Forest National Park,2013,5,120,12234
Petrified Forest National Park,2014,1,1,7
Petrified Forest National Park,2014,3,12,563
Petrified Forest National Park,2014,4,54,4644
Petrified Forest National Park,2014,5,151,11805
Petrified Forest National Park,2015,2,6,609
Petrified Forest National Park,2015,3,41,3396
Petrified Forest National Park,2015,4,187,17310
Petrified Forest National Park,2015,5,463,34580
Petrified Forest National Park,2016,1,3,8
Petrified Forest National Park,2016,2,3,151
Petrified Forest National Park,2016,3,23,942
Petrified Forest National Park,2016,4,105,12037
Petrified Forest National Park,2016,5,318,19246
Petrified Forest National Park,2017,3,7,990
Petrified Forest National Park,2017,4,34,3687
Petrified Forest National Park,2017,5,120,14411
Petrified Forest National Park,2018,1,1,19
Petrified Forest National Park,2018,3,2,239
Petrified Forest National Park,2018,4,19,1646
Petrified Forest National Park,2018,5,91,7438
Petrified Forest National Park,2019,1,1,30
Petrified Forest National Park,2019,3,7,74
Petrified Forest National Park,2019,4,13,1741
Petrified Forest National Park,2019,5,56,5895
Pinnacles National Park,2006,5,1,268
Pinnacles National Park,2009,4,1,39
Pinnacles National Park,2010,2,1,9
Pinnacles National Park,2010,4,1,19
Pinnacles National Park,2010,5,1,15
Pinnacles National Park,2011,3,1,58
Pinnacles National Park,2011,4,1,71
Pinnacles National Park,2011,5,6,316
Pinnacles National Park,2012,3,1,41
Pinnacles National Park,2012,4,6,468
Pinnacles National Park,2012,5,23,2710
Pinnacles National Park,2013,1,1,458
Pinnacles National Park,2013,2,1,42
Pinnacles National Park,2013,3,2,209
Pinnacles National Park,2013,4,21,2112
Pinnacles National Park,2013,5,30,1792
Pinnacles National Park,2014,2,1,53
Pinnacles National Park,2014,3,7,1565
Pinnacles National Park,2014,4,27,7360
Pinnacles National Park,2014,5,34,3848
Pinnacles National Park,2015,1,2,155
Pinnacles National Park,2015,2,3,164
Pinnacles National Park,2015,3,5,717
Pinnacles National Park,2015,4,20,2759
Pinnacles National Park,2015,5,48,4699
Pinnacles National Park,2016,1,1,5
Pinnacles National Park,2016,3,3,194
Pinnacles National Park,2016,4,28,2167
Pinnacles National Park,2016,5,60,5484
Pinnacles National Park,2017,1,1,2
Pinnacles National Park,2017,2,2,34
Pinnacles National Park,2017,3,4,254
Pinnacles National Park,2017,4,18,2398
Pinnacles National Park,2017,5,38,2346
Pinnacles National Park,2018,1,1,5
Pinnacles National Park,2018,2,2,15
Pinnacles National Park,2018,3,3,363
Pinnacles National Park,2018,4,13,622
Pinnacles National Park,2018,5,40,3584
Pinnacles National Park,2019,3,4,1949
Pinnacles National Park,2019,4,16,1445
Pinnacles National Park,2019,5,23,4783
Redwood National Park,2004,4,1,87
Redwood National Park,2006,4,1,163
Redwood National Park,2006,5,1,54
Redwood National Park,2007,5,1,24
Redwood National Park,2008,5,3,407
Redwood National Park,2009,4,2,48
Redwood National Park,2009,5,17,876
Redwood National Park,2010,5,8,683
Redwood National Park,2011,3,1,478
Redwood National Park,2011,5,16,1461
Redwood National Park,2012,1,1,18
Redwood National Park,2012,2,1,56
Redwood National Park,2012,3,3,213
Redwood National Park,2012,4,28,1795
Redwood National Park,2012,5,138,9305
Redwood National Park,2013,4,7,178
Redwood National Park,2013,5,80,8953
Redwood National Park,2014,2,3,183
Redwood National Park,2014,3,3,199
Redwood National Park,2014,4,14,1051
Redwood National Park,2014,5,91,9827
Redwood National Park,2015,3,6,198
Redwood National Park,2015,4,7,297
Redwood National Park,2015,5,172,13690
Redwood National Park,2016,2,1,4
Redwood National Park,2016,3,2,327
Redwood National Park,2016,4,19,1118
Redwood National Park,2016,5,112,21328
Redwood National Park,2017,3,2,19
Redwood National Park,2017,4,6,309
Redwood National Park,2017,5,75,6834
Redwood National Park,2018,4,4,273
Redwood National Park,2018,5,94,4568
Redwood National Park,2019,3,1,102
Redwood National Park,2019,4,6,1946
Redwood National Park,2019,5,53,7714
Isle Royale National Park,2011,5,3,158
Isle Royale National Park,2012,4,1,12
Isle Royale National Park,2012,5,4,156
Isle Royale National Park,2013,3,1,78
Isle Royale National Park,2013,4,2,291
Isle Royale National Park,2013,5,9,1097
Isle Royale National Park,2014,4,3,152
Isle Royale National Park,2014,5,3,27
Isle Royale National Park,2015,4,3,730
Isle Royale National Park,2015,5,3,187
Isle Royale National Park,2016,2,1,2
Isle Royale National Park,2016,3,1,29
Isle Royale National Park,2016,4,3,355
Isle Royale National Park,2016,5,9,1057
Isle Royale National Park,2017,3,2,99
Isle Royale National Park,2017,4,1,53
Isle Royale National Park,2017,5,10,732
Isle Royale National Park,2018,2,1,5
Isle Royale National Park,2018,4,4,508
Isle Royale National Park,2018,5,2,193
Isle Royale National Park,2019,4,2,703
Isle Royale National Park,2019,5,5,456
Rocky Mountain National Park,2008,5,1,73
Rocky Mountain National Park,2009,5,1,113
Rocky Mountain National Park,2010,4,1,44
Rocky Mountain National Park,2010,5,1,56
Rocky Mountain National Park,2011,4,1,4
Rocky Mountain National Park,2011,5,5,161
Rocky Mountain National Park,2012,4,4,491
Rocky Mountain National Park,2012,5,12,384
Rocky Mountain National Park,2013,4,2,9
Rocky Mountain National Park,2013,5,13,748
Rocky Mountain National Park,2014,3,1,27
Rocky Mountain National Park,2014,4,2,110
Rocky Mountain National Park,2014,5,25,725
Rocky Mountain National Park,2015,3,1,108
Rocky Mountain National Park,2015,4,6,83
Rocky Mountain National Park,2015,5,66,2947
Rocky Mountain National Park,2016,4,3,20
Rocky Mountain National Park,2016,5,73,2419
Rocky Mountain National Park,2017,3,1,22
Rocky Mountain National Park,2017,4,4,284
Rocky Mountain National Park,2017,5,60,2858
Rocky Mountain National Park,2018,2,1,7
Rocky Mountain National Park,2018,3,1,5
Rocky Mountain National Park,2018,4,8,1465
Rocky Mountain National Park,2018,5,82,7754
Rocky Mountain National Park,2019,4,5,551
Rocky Mountain National Park,2019,5,41,1623
Saguaro National Park,2017,3,1,141
Saguaro National Park,2017,4,13,1627
Saguaro National Park,2017,5,44,4944
Saguaro National Park,2018,1,2,157
Saguaro National Park,2018,2,3,79
Saguaro National Park,2018,3,10,489
Saguaro National Park,2018,4,69,4462
Saguaro National Park,2018,5,316,20449
Saguaro National Park,2019,2,1,37
Saguaro National Park,2019,3,12,742
Saguaro National Park,2019,4,60,4418
Saguaro National Park,2019,5,222,20582
Channel Islands National Park,2003,5,1,39
Channel Islands National Park,2006,4,1,49
Channel Islands National Park,2007,5,1,12
Channel Islands National Park,2008,4,1,99
Channel Islands National Park,2008,5,2,338
Channel Islands National Park,2009,5,2,6
Channel Islands National Park,2010,5,4,39
Channel Islands National Park,2011,2,1,38
Channel Islands National Park,2011,3,1,54
Channel Islands National Park,2011,5,7,396
Channel Islands National Park,2012,3,2,72
Channel Islands National Park,2012,4,4,288
Channel Islands National Park,2012,5,21,632
Channel Islands National Park,2013,4,7,611
Channel Islands National Park,2013,5,16,1278
Channel Islands National Park,2014,4,9,403
Channel Islands National Park,2014,5,21,1043
Channel Islands National Park,2015,3,3,51
