park,year,total_visitors,visitor_spending,average_spending
North Cascades National Park,2012,"26,935","1,216.10",0.05
North Cascades National Park,2013,"21,623",902.90,0.04
North Cascades National Park,2014,"23,865","1,028.40",0.04
North Cascades National Park,2015,"20,677",800.50,0.04
North Cascades National Park,2016,"28,646","1,289.00",0.04
North Cascades National Park,2017,"30,326","1,361.50",0.04
North Cascades National Park,2018,"30,085","1,375.00",0.05
Olympic National Park,2012,"2,824,908","220,037.30",0.08
Olympic National Park,2013,"3,085,340","245,894.10",0.08
Olympic National Park,2014,"3,243,873","263,953.30",0.08
Olympic National Park,2015,"3,263,761","270,618.60",0.08
Olympic National Park,2016,"3,390,221","286,786.30",0.08
Olympic National Park,2017,"3,401,997","279,392.00",0.08
Olympic National Park,2018,"3,104,455","261,607.00",0.08
Petrified Forest National Park,2012,"664,857","39,405.10",0.06
Petrified Forest National Park,2013,"644,648","39,137.00",0.06
Petrified Forest National Park,2014,"836,800","51,696.50",0.06
Petrified Forest National Park,2015,"793,226","50,032.40",0.06
Petrified Forest National Park,2016,"643,273","41,429.10",0.06
Petrified Forest National Park,2017,"627,756","39,510.10",0.06
Petrified Forest National Park,2018,"644,921","41,835.00",0.06
Pinnacles National Park,2012,"224,476","12,079.30",0.05
Pinnacles National Park,2013,"237,677","13,100.70",0.06
Pinnacles National Park,2014,"196,636","11,028.00",0.06
Pinnacles National Park,2015,"206,532","11,826.30",0.06
Pinnacles National Park,2016,"215,555","12,603.20",0.06
Pinnacles National Park,2017,"233,334","13,340.60",0.06
Pinnacles National Park,2018,"222,152","13,119.00",0.06
Redwood National Park,2012,"352,517","20,833.30",0.06
Redwood National Park,2013,"393,364","23,684.50",0.06
Redwood National Park,2014,"429,166","26,322.40",0.06
Redwood National Park,2015,"527,143","33,012.80",0.06
Redwood National Park,2016,"536,297","34,282.70",0.06
Redwood National Park,2017,"445,000","27,810.70",0.06
Redwood National Park,2018,"482,535","31,071.00",0.06
Rocky Mountain National Park,2012,"3,229,617","196,144.00",0.06
Rocky Mountain National Park,2013,"2,991,141","186,128.10",0.06
Rocky Mountain National Park,2014,"3,434,750","217,019.50",0.06
Rocky Mountain National Park,2015,"4,155,917","268,391.40",0.06
Rocky Mountain National Park,2016,"4,517,586","298,746.70",0.07
Rocky Mountain National Park,2017,"4,437,215","286,151.80",0.06
Rocky Mountain National Park,2018,"4,590,493","305,593.00",0.07
Saguaro National Park,2012,"634,286","37,567.70",0.06
Saguaro National Park,2013,"678,261","41,150.70",0.06
Saguaro National Park,2014,"673,572","41,588.20",0.06
Saguaro National Park,2015,"753,446","47,493.00",0.06
Saguaro National Park,2016,"820,427","52,811.20",0.06
Saguaro National Park,2017,"964,759","60,716.80",0.06
Saguaro National Park,2018,"957,405","62,099.00",0.06
Sequoia National Park,2012,"1,106,584","77,187.10",0.07
Sequoia National Park,2013,"909,275","65,340.10",0.07
Sequoia National Park,2014,"1,039,137","76,741.70",0.07
Sequoia National Park,2015,"1,097,464","82,611.70",0.08
Sequoia National Park,2016,"1,254,688","95,203.60",0.08
Sequoia National Park,2017,"1,291,256","95,882.40",0.07
Sequoia National Park,2018,"1,229,594","94,431.00",0.08
Shenandoah National Park,2012,"1,210,200","76,019.20",0.06
Shenandoah National Park,2013,"1,136,505","72,402.60",0.06
Shenandoah National Park,2014,"1,255,320","80,394.00",0.06
Shenandoah National Park,2015,"1,321,873","87,870.20",0.07
Shenandoah National Park,2016,"1,437,341","96,204.10",0.07
Shenandoah National Park,2017,"1,458,874","95,825.50",0.07
Shenandoah National Park,2018,"1,264,880","86,905.00",0.07
Theodore Roosevelt National Park,2012,"640,555","37,439.00",0.06
Theodore Roosevelt National Park,2013,"545,091","32,505.60",0.06
Theodore Roosevelt National Park,2014,"559,580","33,959.90",0.06
Theodore Roosevelt National Park,2015,"580,033","35,903.70",0.06
Theodore Roosevelt National Park,2016,"753,880","47,793.70",0.06
Theodore Roosevelt National Park,2017,"708,003","43,856.60",0.06
Theodore Roosevelt National Park,2018,"749,389","47,862.00",0.06
Virgin Islands National Park,2012,"483,341","69,936.80",0.14
Virgin Islands National Park,2013,"438,601","64,671.50",0.15
Virgin Islands National Park,2014,"426,931","59,773.80",0.14
Virgin Islands National Park,2015,"438,371","62,133.50",0.14
Virgin Islands National Park,2016,"411,343","59,829.10",0.15
Virgin Islands National Park,2017,"304,408","42,473.90",0.14
Virgin Islands National Park,2018,"112,287","16,322.00",0.15
Voyageurs National Park,2012,"214,841","16,158.90",0.08
Voyageurs National Park,2013,"233,389","18,137.40",0.08
Voyageurs National Park,2014,"239,159","18,825.00",0.08
Voyageurs National Park,2015,"238,313","18,992.10",0.08
Voyageurs National Park,2016,"241,911","19,780.20",0.08
Voyageurs National Park,2017,"237,249","18,886.20",0.08
Voyageurs National Park,2018,"239,657","19,541.00",0.08
Wind Cave National Park,2012,"529,083","48,978.50",0.09
Wind Cave National Park,2013,"516,142","48,723.90",0.09
Wind Cave National Park,2014,"547,022","52,761.40",0.10
Wind Cave National Park,2015,"612,199","60,578.60",0.10
Wind Cave National Park,2016,"617,377","62,282.90",0.10
Wind Cave National Park,2017,"619,924","60,741.20",0.10
Wind Cave National Park,2018,"656,398","66,631.00",0.10
Wrangell - St Elias National Park,2012,"87,158","125,890.90",1.44
Wrangell - St Elias National Park,2013,"69,984","103,538.90",1.48
Wrangell - St Elias National Park,2014,"74,722","112,768.00",1.51
Wrangell - St Elias National Park,2015,"80,366","123,983.80",1.54
Wrangell - St Elias National Park,2016,"79,047","124,665.50",1.58
Wrangell - St Elias National Park,2017,"68,292","104,859.20",1.54
Wrangell - St Elias National Park,2018,"79,450","120,679.00",1.52
Yellowstone National Park,2012,"3,447,729","400,346.50",0.12
Yellowstone National Park,2013,"3,188,030","381,762.70",0.12
Yellowstone National Park,2014,"3,513,483","421,003.80",0.12
Yellowstone National Park,2015,"4,097,709","493,620.90",0.12
Yellowstone National Park,2016,"4,257,177","524,319.80",0.12
Yellowstone National Park,2017,"4,116,523","498,822.70",0.12
Yellowstone National Park,2018,"4,115,001","512,566.00",0.12
Yosemite National Park,2012,"3,853,404","378,757.70",0.10
Yosemite National Park,2013,"3,691,192","373,269.80",0.10
Yosemite National Park,2014,"3,882,642","405,223.40",0.10
Yosemite National Park,2015,"4,150,218","449,080.80",0.11
Yosemite National Park,2016,"5,028,868","520,629.10",0.10
Yosemite National Park,2017,"4,336,889","451,782.00",0.10
Yosemite National Park,2018,"4,009,438","495,245.00",0.12
Zion National Park,2012,"2,973,607","152,859.40",0.05
Zion National Park,2013,"2,807,387","147,051.90",0.05
Zion National Park,2014,"3,189,696","172,231.90",0.05
Zion National Park,2015,"3,648,846","202,198.40",0.06
Zion National Park,2016,"4,295,127","244,531.70",0.06
Zion National Park,2017,"4,504,812","250,884.60",0.06
Zion National Park,2018,"4,320,032","246,236.00",0.06
