park,beautiful,amazing,great,views,place,awesome,trip,visit,worth,day,breathtaking,experience,spectacular,tour,stunning,wow,best,drive,view,time,wonderful,scenery,beauty,nature,sunrise,spending,average_spend,Scored Labels
Kenai Fjords National Park,0.087349,0.02071,0.104972,0.043011,0.063636,0.054878,0.062857,0.047619,0.035088,0.055556,0.044944,0.061856,0.022222,0.046875,0.057471,0.074468,0.15942,0,0,0.018182,0.136364,0.077778,0.019608,0.113208,0,52777.2,0.108974,37872.500019
Petrified Forest National Park,0.084337,0.026627,0.01105,0.048387,0.054545,0.006098,0.011429,0.028571,0.008772,0.006944,0.022472,0,0.055556,0,0.034483,0.010638,0.028986,0.042553,0.008333,0.109091,0.045455,0.011111,0.078431,0.09434,0,41835,0.025641,41840.94111
Dry Tortugas National Park,0.057229,0.100592,0.441989,0.026882,0.218182,0.109756,0.582857,0.12381,0.403509,0.513889,0.016854,0.319588,0,0.046875,0.011494,0.053191,0.130435,0,0,0.181818,0.318182,0.011111,0.019608,0.075472,0,3389.7,0.025641,-48727.005548
Redwood National Park,0.021084,0.023669,0.005525,0,0.018182,0.006098,0.022857,0.009524,0,0,0.011236,0.020619,0,0.007813,0.022989,0.053191,0.014493,0.010638,0,0.036364,0.022727,0,0.039216,0,0,27810.7,0.025641,18621.309635
Acadia National Park,0.518072,0.156805,0.370166,0.317204,0.254545,0.115854,0.062857,0.342857,0.078947,0.118056,0.162921,0.041237,0.144444,0.0625,0.252874,0.06383,0.347826,0.138298,0.058333,0.2,0.477273,0.255556,0.45098,0.283019,0.016,387654,0.057692,370101.677343
Lassen Volcanic National Park,0.01506,0.005917,0.016575,0.005376,0.018182,0.006098,0.005714,0.009524,0,0.006944,0.011236,0.010309,0,0,0.011494,0,0.028986,0.010638,0.016667,0,0.045455,0,0.039216,0.018868,0,30328,0.025641,25320.724889
Great Basin National Park,0.012048,0.011834,0,0.005376,0.027273,0.006098,0,0.038095,0.026316,0,0,0.020619,0.022222,0.023438,0.011494,0.021277,0.014493,0.031915,0,0,0.022727,0,0.019608,0,0,8362.4,0.025641,6169.286904
Wind Cave National Park,0.027108,0.017751,0.121547,0,0.027273,0.042683,0.04,0.066667,0.052632,0.034722,0,0.061856,0.022222,0.367188,0,0.021277,0,0.031915,0,0.090909,0.068182,0.033333,0,0.037736,0,62282.9,0.051282,62845.933585
Death Valley National Park,0.01506,0.017751,0.044199,0.069892,0,0.018293,0.005714,0.009524,0.04386,0.013889,0.02809,0,0.044444,0,0.034483,0.021277,0.057971,0.042553,0.283333,0.018182,0,0,0,0,0.008,75255.1,0.038462,138893.160356
Yosemite National Park,0.322289,0.186391,0.149171,0.182796,0.518182,0.121951,0.102857,0.219048,0.087719,0.069444,0.134831,0.061856,0.222222,0.03125,0.413793,0.12766,0.246377,0.085106,0.058333,0.327273,0.363636,0.233333,0.352941,0.471698,0.004,451782,0.051282,539561.578158
Cuyahoga Valley National Park,0.045181,0.002959,0.082873,0.005376,0.063636,0,0.028571,0.038095,0.035088,0.006944,0,0.010309,0,0,0,0.010638,0.028986,0.010638,0,0.018182,0.022727,0,0.019608,0.056604,0,144710.3,0.025641,97882.994663
Capitol Reef National Park,0.042169,0.017751,0.038674,0.021505,0.054545,0.02439,0.011429,0.009524,0.026316,0.006944,0.011236,0.020619,0.011111,0.007813,0.057471,0.010638,0,0.031915,0,0.018182,0,0.055556,0.098039,0.018868,0,54427.5,0.032051,67621.04812
Channel Islands National Park,0.003012,0,0.027624,0.005376,0,0,0.022857,0,0,0.027778,0,0.010309,0.022222,0,0,0.010638,0,0,0,0,0.022727,0,0.058824,0,0,13997.1,0.025641,8125.862016
