park,visit,drive,hiking,miss,taking,inspiring,loved,crowded,stop,hikes,ride,missed,seen,walk,spend,perfect,visiting,describe,enjoy,need,hidden,going,got,seeing,bring,spending,average_spend
Carlsbad Caverns National Park,0.0571428571428571,0.0106382978723404,0,0.0789473684210526,0,0,0.0476190476190476,0,0,0,0,0.0625,0.0909090909090909,0.153846153846154,0,0,0,0.0606060606060606,0.0909090909090909,0,0,0,0,0,0,32750,0.0396039603960396
Carlsbad Caverns National Park,0.0476190476190476,0.0106382978723404,0.046875,0.0526315789473684,0,0,0.0476190476190476,0,0,0,0,0,0,0.153846153846154,0,0,0,0.0303030303030303,0,0,0,0,0,0,0,30238,0.0396039603960396
Congaree National Park,0.0285714285714286,0,0.03125,0,0,0,0,0,0.0833333333333333,0,0,0,0,0.230769230769231,0,0,0,0,0.0909090909090909,0,0.0769230769230769,0,0,0,0,5945.6,0.0297029702970297
Congaree National Park,0.0380952380952381,0.0212765957446809,0.015625,0,0,0.0263157894736842,0.0476190476190476,0,0.0416666666666667,0,0,0,0,0.461538461538462,0,0,0,0,0,0,0.153846153846154,0,0.0833333333333333,0.0833333333333333,0,4370.2,0.0297029702970297
Congaree National Park,0.0476190476190476,0,0.015625,0.0526315789473684,0,0,0.0476190476190476,0,0.0416666666666667,0,0,0,0,0.153846153846154,0,0,0.0666666666666667,0,0,0,0,0,0,0.0833333333333333,0,7307.3,0.0297029702970297
Congaree National Park,0.0571428571428571,0.0106382978723404,0.046875,0,0,0,0.0952380952380952,0,0,0.0185185185185185,0,0,0,0.230769230769231,0.0454545454545455,0,0,0,0,0,0.153846153846154,0,0,0,0.166666666666667,7827.5,0.0297029702970297
Crater Lake National Park,0.0761904761904762,0.0531914893617021,0,0.131578947368421,0.0526315789473684,0.0789473684210526,0,0,0.0416666666666667,0.037037037037037,0.136363636363636,0.125,0.318181818181818,0,0,0,0,0.0303030303030303,0.0909090909090909,0,0.153846153846154,0,0.0833333333333333,0,0.166666666666667,36097,0.0594059405940594
Crater Lake National Park,0.0571428571428571,0.0638297872340425,0,0.131578947368421,0.0789473684210526,0.105263157894737,0,0,0.0416666666666667,0,0.0909090909090909,0.1875,0,0,0,0,0.0666666666666667,0,0,0,0.0769230769230769,0.0555555555555556,0,0,0,43652.1,0.0594059405940594
Crater Lake National Park,0.0666666666666667,0.0851063829787234,0.015625,0.105263157894737,0.105263157894737,0.0263157894736842,0.0476190476190476,0.0487804878048781,0.0416666666666667,0.037037037037037,0,0.1875,0.136363636363636,0,0,0,0.0666666666666667,0.0303030303030303,0.0909090909090909,0,0,0.0555555555555556,0,0,0,44787.6,0.0594059405940594
Crater Lake National Park,0.104761904761905,0.138297872340426,0.015625,0.0789473684210526,0.0789473684210526,0.0526315789473684,0.0952380952380952,0.024390243902439,0.125,0.0185185185185185,0.0909090909090909,0.0625,0.409090909090909,0.0769230769230769,0.0454545454545455,0.166666666666667,0.133333333333333,0.0909090909090909,0.0909090909090909,0,0.153846153846154,0.166666666666667,0.0833333333333333,0,0,52185,0.0594059405940594
Crater Lake National Park,0.19047619047619,0.106382978723404,0.015625,0.0789473684210526,0.131578947368421,0.236842105263158,0.0476190476190476,0.0731707317073171,0.0833333333333333,0,0.136363636363636,0.3125,0.181818181818182,0,0,0.25,0.0666666666666667,0.0606060606060606,0,0,0,0,0,0.25,0,65300.7,0.0693069306930693
Crater Lake National Park,0.180952380952381,0.127659574468085,0.015625,0.105263157894737,0.0789473684210526,0.131578947368421,0.0952380952380952,0.121951219512195,0,0.037037037037037,0.0454545454545455,0.3125,0.0454545454545455,0,0.0454545454545455,0,0,0.0606060606060606,0,0.0833333333333333,0,0,0.166666666666667,0.0833333333333333,0,59899.5,0.0594059405940594
Crater Lake National Park,0.0857142857142857,0.0638297872340425,0.03125,0.0263157894736842,0.0789473684210526,0.0789473684210526,0.0476190476190476,0.0487804878048781,0,0.037037037037037,0.0454545454545455,0,0.0454545454545455,0,0.0454545454545455,0.0833333333333333,0,0,0,0.0833333333333333,0.0769230769230769,0,0.166666666666667,0,0,62399,0.0693069306930693
Cuyahoga Valley National Park,0.00952380952380952,0.0106382978723404,0.0625,0,0,0,0,0,0.0416666666666667,0.0185185185185185,0.0454545454545455,0,0,0,0,0.0833333333333333,0,0,0.0909090909090909,0,0.230769230769231,0,0,0,0,136751.8,0.0396039603960396
Cuyahoga Valley National Park,0.0476190476190476,0,0.0625,0,0,0,0.0952380952380952,0,0,0,0.181818181818182,0,0,0,0.0454545454545455,0,0.0666666666666667,0,0,0,0,0,0,0,0,135805,0.0396039603960396
Cuyahoga Valley National Park,0.0380952380952381,0.0106382978723404,0.03125,0,0,0,0,0.024390243902439,0.125,0.0555555555555556,0.0909090909090909,0,0,0.0769230769230769,0,0,0.0666666666666667,0,0.0909090909090909,0,0.153846153846154,0,0,0,0,144710.3,0.0396039603960396
Cuyahoga Valley National Park,0.0857142857142857,0,0.046875,0.0263157894736842,0,0,0.0952380952380952,0,0,0.037037037037037,0.272727272727273,0,0,0.153846153846154,0.0909090909090909,0,0.0666666666666667,0,0.181818181818182,0,0.0769230769230769,0,0,0,0.0833333333333333,69728.2,0.0099009900990099
Cuyahoga Valley National Park,0.0476190476190476,0.0106382978723404,0.0625,0,0,0,0.0476190476190476,0,0.125,0.0185185185185185,0.0909090909090909,0.0625,0,0.0769230769230769,0,0,0,0,0,0,0.153846153846154,0,0,0,0,63098.6,0.0099009900990099
Cuyahoga Valley National Park,0.019047619047619,0,0.046875,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0.0833333333333333,0.0769230769230769,0,0.0833333333333333,0,0,36811,0
Death Valley National Park,0.019047619047619,0.0531914893617021,0,0.0789473684210526,0.0263157894736842,0.0526315789473684,0,0,0,0,0,0,0,0.0769230769230769,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,77966.6,0.0594059405940594
Death Valley National Park,0.00952380952380952,0.0425531914893617,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.0555555555555556,0,0.0833333333333333,0,75255.1,0.0594059405940594
Death Valley National Park,0,0.074468085106383,0,0.0526315789473684,0.0526315789473684,0.0526315789473684,0,0.024390243902439,0.0416666666666667,0,0.0454545454545455,0,0,0.0769230769230769,0,0.0833333333333333,0.0666666666666667,0,0,0,0,0,0,0,0.166666666666667,89177.4,0.0594059405940594
Death Valley National Park,0.0476190476190476,0.212765957446809,0,0.0789473684210526,0.0526315789473684,0,0.0476190476190476,0,0.25,0,0,0.125,0,0.0769230769230769,0,0,0.133333333333333,0,0,0,0,0.0555555555555556,0,0.0833333333333333,0.0833333333333333,95036.9,0.0594059405940594
Death Valley National Park,0.0476190476190476,0.170212765957447,0,0.131578947368421,0.0526315789473684,0.0263157894736842,0,0,0.208333333333333,0,0,0.125,0,0.0769230769230769,0,0.0833333333333333,0,0.0303030303030303,0,0,0,0,0.0833333333333333,0,0,108077.8,0.0594059405940594
Death Valley National Park,0.0476190476190476,0.127659574468085,0,0.0789473684210526,0.105263157894737,0,0,0,0.0416666666666667,0,0.0909090909090909,0.125,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,106839.2,0.0594059405940594
Death Valley National Park,0.0285714285714286,0.0957446808510638,0,0,0.0263157894736842,0.0263157894736842,0,0,0.125,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,141260,0.0594059405940594
Denali National Park,0.00952380952380952,0.0106382978723404,0,0,0.0263157894736842,0.0263157894736842,0,0,0,0,0.0454545454545455,0,0.0454545454545455,0,0,0.0833333333333333,0,0,0.0909090909090909,0,0,0,0.0833333333333333,0.166666666666667,0,371501.1,0.930693069306931
Denali National Park,0.00952380952380952,0.0106382978723404,0,0.0789473684210526,0.0526315789473684,0.0789473684210526,0.0476190476190476,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0.0833333333333333,0,0,513335.2,0.940594059405941
Denali National Park,0.00952380952380952,0,0,0,0,0.0526315789473684,0,0,0,0,0,0.0625,0.0909090909090909,0,0,0,0,0,0,0.0833333333333333,0,0,0.333333333333333,0,0,524279.2,0.96039603960396
Denali National Park,0.0285714285714286,0.0319148936170213,0,0.0263157894736842,0.105263157894737,0.131578947368421,0.0476190476190476,0,0,0,0.0454545454545455,0,0,0,0,0.333333333333333,0,0,0,0.0833333333333333,0.0769230769230769,0,0.333333333333333,0.5,0.0833333333333333,567166.4,0.98019801980198
Denali National Park,0.2,0.0319148936170213,0.046875,0.105263157894737,0.105263157894737,0.105263157894737,0.380952380952381,0,0.0416666666666667,0,0.545454545454545,0,0.272727272727273,0.0769230769230769,0.0909090909090909,0.333333333333333,0,0,0.0909090909090909,0.0833333333333333,0,0,0,0.25,0,604881.9,1
Denali National Park,0.133333333333333,0.0212765957446809,0.015625,0.105263157894737,0.184210526315789,0.210526315789474,0.0952380952380952,0,0.0416666666666667,0,0.181818181818182,0.125,0.0454545454545455,0.0769230769230769,0.0454545454545455,0.0833333333333333,0.0666666666666667,0.0303030303030303,0,0.0833333333333333,0.153846153846154,0.0555555555555556,0.25,0.25,0,632370.4,0.95049504950495
Denali National Park,0.0666666666666667,0.0106382978723404,0.03125,0.0263157894736842,0.0789473684210526,0.0263157894736842,0.0476190476190476,0,0,0,0.181818181818182,0.125,0.0909090909090909,0,0,0.0833333333333333,0.133333333333333,0.0303030303030303,0.0909090909090909,0.166666666666667,0,0,0.166666666666667,0.0833333333333333,0,602445,0.98019801980198
Dry Tortugas National Park,0.123809523809524,0,0,0.184210526315789,0.0263157894736842,0,0.238095238095238,0,0,0,0.363636363636364,0.125,0.0454545454545455,0,0.181818181818182,0.25,0,0,0,0,0.153846153846154,0,0.0833333333333333,0.166666666666667,0.166666666666667,3389.7,0.0396039603960396
Dry Tortugas National Park,0.19047619047619,0,0,0.236842105263158,0.0263157894736842,0,0.428571428571429,0,0.0416666666666667,0,0.727272727272727,0.0625,0.0454545454545455,0,0.227272727272727,0.416666666666667,0.4,0.0606060606060606,0.181818181818182,0.25,0.153846153846154,0.222222222222222,0.0833333333333333,0.0833333333333333,0.0833333333333333,3783.6,0.0396039603960396
Dry Tortugas National Park,0.276190476190476,0,0,0.5,0.0263157894736842,0,0.238095238095238,0,0.0416666666666667,0,0.954545454545455,0.1875,0.0909090909090909,0.153846153846154,0.227272727272727,0.0833333333333333,0.2,0,0.181818181818182,0,0.0769230769230769,0.111111111111111,0.333333333333333,0.0833333333333333,0.166666666666667,4235.9,0.0396039603960396
Dry Tortugas National Park,0.295238095238095,0.0106382978723404,0,0.315789473684211,0.0263157894736842,0,0.428571428571429,0.024390243902439,0,0,0.590909090909091,0.125,0.0454545454545455,0,0.318181818181818,0.333333333333333,0.2,0,0.0909090909090909,0.0833333333333333,0.230769230769231,0.111111111111111,0.0833333333333333,0.25,0.0833333333333333,4410,0.0396039603960396
Dry Tortugas National Park,0.314285714285714,0,0,0.289473684210526,0.0526315789473684,0,0.0952380952380952,0,0.0416666666666667,0,1,0.0625,0.0454545454545455,0,0.227272727272727,0.25,0.266666666666667,0,0,0.333333333333333,0.307692307692308,0.0555555555555556,0.166666666666667,0,0,3190.3,0.0396039603960396
Dry Tortugas National Park,0.161904761904762,0,0,0.157894736842105,0.0789473684210526,0,0.142857142857143,0,0.0416666666666667,0,0.318181818181818,0.1875,0,0.0769230769230769,0.181818181818182,0.166666666666667,0.333333333333333,0,0.181818181818182,0.0833333333333333,0.0769230769230769,0.111111111111111,0.0833333333333333,0,0.166666666666667,3426,0.0396039603960396
Everglades National Park,0.019047619047619,0,0.015625,0.0263157894736842,0,0.0263157894736842,0.0476190476190476,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,104476.5,0.0693069306930693
Everglades National Park,0.19047619047619,0.0319148936170213,0,0.0263157894736842,0,0,0.142857142857143,0,0.208333333333333,0.0185185185185185,0.0909090909090909,0,0.136363636363636,0.230769230769231,0.0454545454545455,0,0.0666666666666667,0,0.0909090909090909,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,103392.6,0.0792079207920792
Everglades National Park,0.19047619047619,0.0531914893617021,0.015625,0.0526315789473684,0,0,0.0476190476190476,0,0.0833333333333333,0.0185185185185185,0.136363636363636,0.0625,0.0454545454545455,0.153846153846154,0.0454545454545455,0,0.0666666666666667,0,0.181818181818182,0.0833333333333333,0,0.0555555555555556,0.0833333333333333,0,0.166666666666667,91321.4,0.0792079207920792
Everglades National Park,0.0952380952380952,0.0425531914893617,0.015625,0.0789473684210526,0,0,0,0,0.125,0,0.181818181818182,0.125,0,0,0,0.0833333333333333,0.133333333333333,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333,97398.3,0.0792079207920792
Glacier Bay National Park,0.00952380952380952,0,0,0.0263157894736842,0,0,0,0,0.0833333333333333,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333,92676.3,0.178217821782178
Glacier Bay National Park,0.00952380952380952,0,0,0,0.0526315789473684,0.0789473684210526,0.0952380952380952,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0.0555555555555556,0.0833333333333333,0,0,96283,0.168316831683168
Glacier Bay National Park,0.0476190476190476,0,0.015625,0.131578947368421,0.0526315789473684,0.131578947368421,0.0952380952380952,0,0.0416666666666667,0,0,0.1875,0,0,0,0.0833333333333333,0.0666666666666667,0.0606060606060606,0.0909090909090909,0,0,0,0,0.0833333333333333,0,111595.9,0.198019801980198
Glacier Bay National Park,0.00952380952380952,0,0,0.0263157894736842,0.0789473684210526,0.0263157894736842,0,0,0.0416666666666667,0,0,0,0.0454545454545455,0,0.0454545454545455,0,0,0.0606060606060606,0,0,0,0,0,0,0,112754.2,0.178217821782178
Glacier Bay National Park,0.0857142857142857,0,0,0,0.0526315789473684,0.105263157894737,0,0,0.0416666666666667,0,0,0,0.0454545454545455,0,0.0454545454545455,0,0.0666666666666667,0.0303030303030303,0,0.0833333333333333,0,0,0,0,0.0833333333333333,112054.6,0.198019801980198
Glacier Bay National Park,0.00952380952380952,0,0,0.0263157894736842,0.0526315789473684,0.0789473684210526,0,0,0.0416666666666667,0,0,0,0.0909090909090909,0,0,0,0.133333333333333,0.0303030303030303,0.0909090909090909,0,0,0,0,0.0833333333333333,0.0833333333333333,113804.7,0.188118811881188
Glacier Bay National Park,0.019047619047619,0,0,0,0.0263157894736842,0.0789473684210526,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.0666666666666667,0.0303030303030303,0,0,0,0,0,0,0,217161,0.336633663366337
