park,views,place,trip,day,breathtaking,experience,tour,wow,view,time,scenery,beauty,nature,sunrise,hike,world,list,bucket,rim,parks,fun,wonder,sunset,breath,road,average_spend,spending,Scored Labels
Petrified Forest National Park,0.032258,0.045455,0.051429,0.055556,0.033708,0,0.007813,0.010638,0,0.072727,0.022222,0.137255,0.037736,0,0.030769,0.031915,0,0,0,0.028169,0.064516,0.029126,0.034483,0,0.03125,0.025641,39405.1,-2108.580646
Hawaii Volcanoes National Park,0.032258,0.081818,0.062857,0.097222,0.005618,0.195876,0.046875,0.042553,0.008333,0.163636,0.011111,0,0.075472,0,0.092308,0.031915,0.031579,0.021978,0,0.014085,0.129032,0.009709,0,0,0,0.038462,113376.4,137747.473744
Grand Canyon National Park,0.569892,0.527273,0.331429,0.284722,0.837079,0.608247,0.265625,0.829787,0.491667,0.509091,0.144444,0.490196,0.509434,0.028,0.246154,0.585106,0.505263,0.527473,0.640719,0.028169,0.16129,0.543689,0.183908,0.808511,0.046875,0.057692,509528,521756.441978
Redwood National Park,0.010753,0.063636,0.011429,0.020833,0.011236,0.020619,0,0.010638,0,0.018182,0.022222,0.137255,0.169811,0,0.015385,0.021277,0,0,0,0.014085,0,0.038835,0,0,0.015625,0.025641,20833.3,34247.43787
Guadalupe Mountains National Park,0.005376,0.009091,0.005714,0,0,0,0,0,0.016667,0.018182,0.011111,0.019608,0,0,0.123077,0,0,0,0,0,0,0.009709,0,0,0,0.025641,9949.4,203.683244
Channel Islands National Park,0.005376,0.027273,0.011429,0.020833,0,0,0,0,0,0,0.011111,0,0.018868,0,0.046154,0.021277,0,0,0,0,0,0,0,0,0,0.025641,22907,14468.066916
Hot Springs National Park,0.005376,0.009091,0.017143,0.013889,0,0.010309,0,0,0,0.018182,0,0,0,0,0.015385,0,0,0,0,0,0,0,0,0,0,0.025641,87606.1,90999.982123
Black Canyon Of The Gunnison National Park,0.021505,0.027273,0.017143,0.006944,0.044944,0,0.015625,0.085106,0.008333,0,0.022222,0.019608,0,0.004,0.015385,0,0.010526,0.010989,0,0.014085,0,0,0.011494,0,0.015625,0.025641,18656.5,-28060.870754
Pinnacles National Park,0.026882,0.027273,0.005714,0.006944,0,0.010309,0,0,0,0,0,0.039216,0,0,0.107692,0,0.010526,0.010989,0,0,0,0,0,0,0,0.025641,13340.6,23953.40969
Congaree National Park,0.005376,0.045455,0.005714,0.013889,0,0.010309,0.015625,0,0,0,0,0,0.037736,0,0.076923,0,0,0,0,0,0.032258,0.009709,0,0,0,0.019231,7307.3,3603.438167
Kenai Fjords National Park,0.032258,0.081818,0.097143,0.076389,0.016854,0.061856,0.117188,0.074468,0.008333,0.072727,0.155556,0.137255,0.056604,0,0.123077,0,0,0,0,0.014085,0,0,0,0.021277,0,0.102564,62784.5,62168.421704
Mammoth Cave National Park,0.010753,0.127273,0.085714,0.090278,0,0.216495,0.6875,0.021277,0,0.327273,0,0.098039,0.037736,0,0,0.106383,0.052632,0.054945,0,0.028169,0.451613,0.019417,0.011494,0,0.015625,0.038462,45094,42422.782411
Denali National Park,0.016129,0.009091,0.017143,0.048611,0.05618,0,0.0625,0.06383,0.15,0,0,0.039216,0.056604,0,0,0,0.010526,0.010989,0,0,0,0.009709,0,0,0,0.621795,524279.2,466218.409716
Channel Islands National Park,0.021505,0.045455,0.028571,0.006944,0,0.010309,0,0,0,0.018182,0,0,0.018868,0,0.107692,0,0,0,0,0.014085,0.064516,0,0,0,0,0.025641,22436,13723.045843
Everglades National Park,0,0.1,0.011429,0.027778,0,0.061856,0,0,0,0.090909,0.011111,0,0.075472,0,0,0,0.010526,0.010989,0,0,0.096774,0,0,0,0,0.051282,58664,111758.773847
Crater Lake National Park,0.145161,0.2,0.045714,0.069444,0.061798,0.051546,0.023438,0.053191,0.058333,0.072727,0.066667,0.196078,0.018868,0,0.030769,0.042553,0.042105,0.043956,0.02994,0.028169,0,0.038835,0,0.085106,0.046875,0.038462,59899.5,115134.705605
Biscayne National Park,0.005376,0.027273,0.034286,0.027778,0,0,0.039063,0,0,0,0,0,0,0,0,0,0,0,0,0.014085,0.064516,0,0,0,0,0.025641,30309,30331.44
Kenai Fjords National Park,0.005376,0.054545,0.051429,0.041667,0.022472,0.072165,0.148438,0,0.008333,0.018182,0.022222,0,0.018868,0,0.107692,0,0,0,0,0.028169,0,0,0,0,0,0.108974,53975.7,49847.926271
Mount Rainier National Park,0.123656,0.063636,0.04,0.055556,0.061798,0.061856,0.015625,0.095745,0.025,0.018182,0.033333,0.176471,0.056604,0.012,0.061538,0,0.021053,0.021978,0,0.014085,0.032258,0,0,0,0.015625,0.012821,45741.3,74953.939164
Bryce Canyon National Park,0.38172,0.409091,0.08,0.076389,0.235955,0.154639,0.03125,0.297872,0.058333,0.272727,0.344444,0.627451,0.45283,0.016,0.353846,0.095745,0.147368,0.120879,0.023952,0.239437,0.129032,0.106796,0.08046,0.297872,0.046875,0.038462,145879.8,166628.046777
Dry Tortugas National Park,0.021505,0.318182,0.714286,0.798611,0.016854,0.278351,0.078125,0.106383,0.008333,0.290909,0.044444,0.019608,0.018868,0,0,0.021277,0.147368,0.131868,0,0.014085,0.870968,0.009709,0.011494,0.042553,0,0.025641,3783.6,8707.234483
